full_name,org_login,repo_name,category_l1,category_l2,months_count,or_12m_avg,or_recent3,or_prev9,or_momentum
elementary-data/elementary,elementary-data,elementary-data/elementary,WORKFLOW MANAGEMENT & DATAOPS,Pipeline Observability,12.0,14.777671257654825,10.222772916158041,16.29597070482042,-0.3726809466382938
opencost/opencost,opencost,opencost/opencost,DATA INFRASTRUCTURE,Cost Management,12.0,14.547618468602499,14.959375381469727,14.410366164313423,0.03809821422275156
plotly/dash,plotly,plotly/dash,BI as Code (Web App),,12.0,14.41682235399882,11.32362143198649,15.44788932800293,-0.2669793787647245
estuary/flow,estuary,estuary/flow,DATA INTEGRATION,Data Integration Platform,12.0,14.363540252049765,14.987802187601725,14.15545294019911,0.058800608565401855
bentoml/BentoML,bentoml,bentoml/BentoML,ML/AI PLATFORM,MLOps,12.0,14.257829229036966,8.815691153208414,16.071875254313152,-0.451483351275852
cloudquery/cloudquery,cloudquery,cloudquery/cloudquery,DATA INTEGRATION,Log & Event Collection,12.0,14.055333773295084,15.928906758626303,13.430809444851345,0.18599752487238175
pachyderm/pachyderm,pachyderm,pachyderm/pachyderm,ML/AI PLATFORM,MLOps,10.0,13.198078505694866,0.24049104750156403,14.637810445494122,-0.9835705586981697
ByConity/ByConity,ByConity,ByConity/ByConity,STORAGE SYSTEMS,Columnar OLAP Database,11.0,12.617142335935073,1.1674290001392365,15.161523077223036,-0.9230005459086725
superduper-io/superduper,superduper-io,superduper-io/superduper,ML/AI PLATFORM,LLMOps,12.0,12.5499640305837,9.131983439127604,13.689290894402397,-0.33291041080428013
vdaas/vald,vdaas,vdaas/vald,ML/AI PLATFORM,Vector Storage,12.0,12.429203748703003,12.352208773295084,12.454868740505642,-0.008242557135643497
apache/ambari,apache,apache/ambari,DATA INFRASTRUCTURE,Cluster Administration,12.0,12.011212746302286,8.08786678314209,13.318994734022352,-0.39275696517228487
readysettech/readyset,readysettech,readysettech/readyset,STORAGE SYSTEMS,In-memory SQL Database,12.0,11.66453997294108,6.973077774047852,13.22836070590549,-0.47286909322521836
FerretDB/FerretDB,FerretDB,FerretDB/FerretDB,STORAGE SYSTEMS,Document Store,12.0,11.10618245601654,12.340192476908365,10.694845782385933,0.15384482656423765
confluentinc/ksql,confluentinc,confluentinc/ksql,STORAGE SYSTEMS,Streaming Database,12.0,10.835047364234924,8.00242821375529,11.779253747728136,-0.3206336848547204
slingdata-io/sling-cli,slingdata-io,slingdata-io/sling-cli,DATA INTEGRATION,Data Migration,12.0,10.748063405354818,8.97260316212972,11.33988348642985,-0.20875702357374246
warpstreamlabs/bento,warpstreamlabs,warpstreamlabs/bento,DATA PROCESSING AND COMPUTATION,Stream Processing,12.0,10.73595118522644,13.486128807067871,9.819225311279297,0.3734412216385767
apache/ranger,apache,apache/ranger,DATA INFRASTRUCTURE,Security,12.0,10.728512048721313,13.18306032816569,9.91032928890652,0.3302343387240035
Multiwoven/multiwoven,Multiwoven,Multiwoven/multiwoven,DATA INTEGRATION,Reverse ETL,12.0,10.542775173981985,6.357492844263713,11.937869283888075,-0.46745162867178547
getredash/redash,getredash,getredash/redash,ANALYTICS & VISUALISATION,BI & Dashboard,12.0,10.497794191042582,7.326563835144043,11.554870976342094,-0.3659328736647304
dgraph-io/dgraph,dgraph-io,dgraph-io/dgraph,STORAGE SYSTEMS,Graph Database,4.0,10.459531784057617,,10.459531784057617,
pgvector/pgvector,pgvector,pgvector/pgvector,ML/AI PLATFORM,Vector Storage,12.0,10.372308850288391,4.64976708094279,12.279822773403591,-0.6213490074943471
unionai-oss/pandera,unionai-oss,unionai-oss/pandera,WORKFLOW MANAGEMENT & DATAOPS,Data Quality,12.0,10.170148928960165,11.109761555989584,9.856944719950357,0.12709991499734574
gluster/glusterfs,gluster,gluster/glusterfs,DATA LAKE PLATFORM,Distributed File System,12.0,10.074462215105692,11.865663528442383,9.47739511066013,0.25199629116400774
apache/helix,apache,apache/helix,DATA INFRASTRUCTURE,Cluster Administration,12.0,10.06433935960134,5.951466083526611,11.435297118292915,-0.47955299963250464
ipython/ipython,ipython,ipython/ipython,BI as Code (Web App),Query & Collaboration,12.0,10.036021888256073,5.274186531702678,11.623300340440538,-0.5462401919227375
apache/incubator-xtable,apache,apache/incubator-xtable,DATA LAKE PLATFORM,Universal Lakehouse,12.0,9.551816622416178,5.002875010172526,11.068130493164062,-0.5479927695772634
apache/gobblin,apache,apache/gobblin,DATA INTEGRATION,Data Integration Platform,12.0,9.510478218396505,8.143266042073568,9.96621561050415,-0.18291291696611875
apache/zeppelin,apache,apache/zeppelin,BI as Code (Web App),Query & Collaboration,12.0,9.35123324394226,12.808353900909424,8.198859691619873,0.562211622428538
infinyon/fluvio,infinyon,infinyon/fluvio,DATA PROCESSING AND COMPUTATION,Stream Processing,12.0,9.346965988477072,6.695092519124349,10.230923811594645,-0.3456023480952091
apache/knox,apache,apache/knox,DATA INFRASTRUCTURE,Security,12.0,9.345891952514648,10.015002568562826,9.122855080498589,0.09779257482356929
oceanbase/oceanbase,oceanbase,oceanbase/oceanbase,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,9.176009078820547,5.827386458714803,10.292216618855795,-0.4338064700233015
git-lfs/git-lfs,git-lfs,git-lfs/git-lfs,WORKFLOW MANAGEMENT & DATAOPS,Data Versioning,12.0,8.899919350941977,6.612448374430339,9.662409676445854,-0.31565224453796803
sodadata/soda-core,sodadata,sodadata/soda-core,WORKFLOW MANAGEMENT & DATAOPS,Data Quality,12.0,8.283169309298197,11.850011507670084,7.094221909840901,0.6703750824642358
apache/avro,apache,apache/avro,DATA LAKE PLATFORM,Serialisation Framework,12.0,8.102603236834208,6.3279900550842285,8.694140964084202,-0.27215465205528927
FalkorDB/falkordb,FalkorDB,FalkorDB/FalkorDB,STORAGE SYSTEMS,Graph Database,12.0,8.085389693578085,8.558504740397135,7.927684677971734,0.07957179025778224
projectnessie/nessie,projectnessie,projectnessie/nessie,WORKFLOW MANAGEMENT & DATAOPS,Data Versioning,12.0,7.891637881596883,2.8877145449320474,9.559612327151829,-0.6979255595197963
delta-io/delta-sharing,delta-io,delta-io/delta-sharing,BI as Code (Web App),Data Sharing,12.0,7.879646082719167,8.018186887105307,7.833465814590454,0.023581014698601833
activeloopai/deeplake,activeloopai,activeloopai/deeplake,ML/AI PLATFORM,Vector Storage,12.0,7.867830773194631,2.421536842981974,9.683262083265516,-0.7499255083504514
iterative/dvc,iterative,iterative/dvc,WORKFLOW MANAGEMENT & DATAOPS,Data Versioning,12.0,7.65499218304952,8.104395071665445,7.505191220177545,0.07983858557486906
apache/orc,apache,apache/orc,DATA LAKE PLATFORM,Serialisation Framework,12.0,7.622352600097656,11.29477628072103,6.398211373223199,0.7653021480331478
neo4j/neo4j,neo4j,neo4j/neo4j,STORAGE SYSTEMS,Graph Database,12.0,7.586041847864787,4.304693698883057,8.67982456419203,-0.5040575224709322
meltano/meltano,meltano,meltano/meltano,DATA INTEGRATION,Data Integration Platform,12.0,7.436529517173767,6.636828899383545,7.703096389770508,-0.138420634564944
ArroyoSystems/arroyo,ArroyoSystems,ArroyoSystems/arroyo,DATA PROCESSING AND COMPUTATION,Stream Processing,12.0,7.277154644330342,6.28102445602417,7.6091980404324,-0.17454843169422296
apache/age,apache,apache/age,STORAGE SYSTEMS,Graph Database,12.0,7.249226411183675,5.277767340342204,7.906379434797499,-0.33246723309107407
jitsucom/jitsu,jitsucom,jitsucom/jitsu,DATA INTEGRATION,Log & Event Collection,12.0,7.070395151774089,5.573216915130615,7.56945456398858,-0.26372278636230895
Mooncake-Labs/pg_mooncake,Mooncake-Labs,Mooncake-Labs/pg_mooncake,STORAGE SYSTEMS,OLAP Extensions,11.0,6.950112581253052,3.423926035563151,8.272432535886765,-0.5861040847767854
MonetDB/MonetDB,MonetDB,MonetDB/MonetDB,STORAGE SYSTEMS,Columnar OLAP Database,12.0,6.870767176151276,3.991931358973185,7.830379115210639,-0.49019947818122966
timeplus-io/proton,timeplus-io,timeplus-io/proton,STORAGE SYSTEMS,Streaming Database,12.0,6.815386672814687,1.6550077597300212,8.535512977176243,-0.8061033046103412
apache/atlas,apache,apache/atlas,METADATA MANAGEMENT,Metadata Platform,12.0,6.768893800675869,12.106351216634115,4.989741328689787,1.426248260010107
postgres/postgres,postgres,postgres/postgres,STORAGE SYSTEMS,Relational DBMS,12.0,6.622463703155518,5.653035322825114,6.945606496598986,-0.18609910803423677
fluent/fluentd,fluent,fluent/fluentd,DATA INFRASTRUCTURE,Log & Metrics Pipeline,12.0,6.532174547513326,4.637294451395671,7.1638012462192115,-0.35267684124499366
apache/incubator-hugegraph,apache,apache/incubator-hugegraph,STORAGE SYSTEMS,Graph Database,12.0,6.467914700508118,6.1001302401224775,6.590509520636664,-0.07440688447208474
apache/yunikorn-core,apache,apache/yunikorn-core,DATA INFRASTRUCTURE,Resource Scheduling,12.0,6.3148225744565325,4.311129093170166,6.982720401551989,-0.3826003555559852
artie-labs/transfer,artie-labs,artie-labs/transfer,DATA INTEGRATION,CDC Tool,12.0,6.097252766291301,6.323476950327556,6.021844704945882,0.0500896752010121
MarquezProject/marquez,MarquezProject,MarquezProject/marquez,METADATA MANAGEMENT,Metadata Platform,12.0,5.973155488570531,1.0964900255203247,7.5987106429206,-0.855700515910304
orientechnologies/orientdb,orientechnologies,orientechnologies/orientdb,STORAGE SYSTEMS,NoSQL Multi-model,12.0,5.954495310783386,5.448149998982747,6.123277081383599,-0.11025584395868988
jupyter/notebook,jupyter,jupyter/notebook,BI as Code (Web App),Query & Collaboration,12.0,5.795548439025879,3.65118137995402,6.510337458716498,-0.439171716810845
krb5/krb5,krb5,krb5/krb5,DATA INFRASTRUCTURE,Security,12.0,5.5490065813064575,4.64254109064738,5.851161744859484,-0.20656080055792903
modin-project/modin,modin-project,modin-project/modin,DATA PROCESSING AND COMPUTATION,Python Workflow Scaling,12.0,5.420901795228322,4.867569764455159,5.605345805486043,-0.131620076019005
eakmanrq/sqlframe,,eakmanrq/sqlframe,DATA PROCESSING AND COMPUTATION,Python Processing Framework,12.0,5.244527538617452,4.071652889251709,5.6354857550726996,-0.2774974392248848
apache/hudi-rs,apache,apache/hudi-rs,DATA LAKE PLATFORM,Native Open Table Format Library,12.0,5.2044207354386645,3.7953433195749917,5.674113207393223,-0.3311125138233482
JanusGraph/janusgraph,JanusGraph,JanusGraph/janusgraph,STORAGE SYSTEMS,Graph Database,12.0,5.11633978287379,2.2091784477233887,6.0853935612572565,-0.6369703248466698
apache/parquet-format,apache,apache/parquet-format,DATA LAKE PLATFORM,Serialisation Framework,12.0,5.0747437079747515,3.3578691482543945,5.6470352278815374,-0.4053748537506316
CrunchyData/pg_parquet,CrunchyData,CrunchyData/pg_parquet,STORAGE SYSTEMS,OLAP Extensions,11.0,4.990397084843028,4.512991189956665,5.169424295425415,-0.12698379315655095
bruin-data/ingestr,bruin-data,bruin-data/ingestr,DATA INTEGRATION,Data Migration,12.0,4.915838062763214,6.24359146753947,4.473253594504462,0.39576067746526267
Alluxio/alluxio,Alluxio,Alluxio/alluxio,BI as Code (Web App),Semantic & Middleware Layer,12.0,4.766558401286602,0.6882349153359731,6.125999563270145,-0.8876534501467409
vesoft-inc/nebula,vesoft-inc,vesoft-inc/nebula,STORAGE SYSTEMS,Graph Database,12.0,4.64359184106191,3.164175351460775,5.136730670928955,-0.38400987823475907
akka/akka,akka,akka/akka,DATA PROCESSING AND COMPUTATION,Stream Processing,12.0,4.622441252072652,4.0638321240743,4.8086442947387695,-0.15489026116558113
apache/tez,apache,apache/tez,DATA PROCESSING AND COMPUTATION,Batch processing,12.0,4.595970332622528,3.4819674491882324,4.967304627100627,-0.29902276776195486
chdb-io/chdb,chdb-io,chdb-io/chdb,STORAGE SYSTEMS,In-process OLAP Engine,12.0,4.332878490289052,4.7159528732299805,4.2051870293087426,0.12146091014772264
apache/eventmesh,apache,apache/eventmesh,DATA INTEGRATION,Log & Event Collection,12.0,4.302058686812718,1.4573429028193157,5.250297281477186,-0.7224265932596319
jina-ai/jina,jina-ai,jina-ai/jina,ML/AI PLATFORM,MLOps,1.0,4.2214155197143555,,4.2214155197143555,
apache/datafusion-ballista,apache,apache/datafusion-ballista,BI as Code (Web App),MPP Query Engine,12.0,4.203081885973613,3.114866336186727,4.565820402569241,-0.3177860578059629
pinterest/querybook,pinterest,pinterest/querybook,BI as Code (Web App),Query & Collaboration,12.0,4.162681818008423,3.5512386163075766,4.366496218575372,-0.18670750218439072
memcached/memcached,memcached,memcached/memcached,STORAGE SYSTEMS,Cache Store,12.0,4.127921005090077,3.592920462290446,4.306254519356622,-0.16565069571706412
m3db/m3,m3db,m3db/m3,DATA INFRASTRUCTURE,Metrics Store,12.0,4.094300429026286,3.599667549133301,4.259178055657281,-0.1548445493251875
GlareDB/glaredb,GlareDB,GlareDB/glaredb,STORAGE SYSTEMS,In-process OLAP Engine,12.0,3.9292426705360413,3.9380297660827637,3.926313638687134,0.002984001909625202
dgraph-io/badger,dgraph-io,dgraph-io/badger,STORAGE SYSTEMS,Embedded Key-value Store,5.0,3.8314988136291506,,3.8314988136291506,
kubeflow/kubeflow,kubeflow,kubeflow/kubeflow,ML/AI PLATFORM,MLOps,12.0,3.7813442945480347,1.5919771591822307,4.5111333396699695,-0.6471003982119716
turbot/steampipe,turbot,turbot/steampipe,DATA INTEGRATION,Log & Event Collection,12.0,3.685789108276367,3.864611546198527,3.6261816289689808,0.06575233720362154
apache/drill,apache,apache/drill,BI as Code (Web App),MPP Query Engine,12.0,3.605445990959803,3.2800505956014,3.713911122745938,-0.11682038498103757
paradedb/pg_analytics,paradedb,paradedb/pg_analytics,STORAGE SYSTEMS,OLAP Extensions,11.0,3.4202218380841343,1.0728093385696411,3.941869060198466,-0.7278424721404554
amacneil/dbmate,,amacneil/dbmate,DATA INTEGRATION,Data Migration,12.0,3.2941495180130005,4.056122223536174,3.0401586161719427,0.3341811186955421
apache/kylin,apache,apache/kylin,STORAGE SYSTEMS,Real-time OLAP Engine,12.0,3.2023969093958535,1.6523051261901855,3.71909417046441,-0.5557237729250993
apache/horaedb,apache,apache/horaedb,STORAGE SYSTEMS,Time-Series Database,10.0,3.0380261063575746,1.0058515071868896,3.263823284043206,-0.6918180245528347
odpi/egeria,odpi,odpi/egeria,METADATA MANAGEMENT,Open Standards,12.0,2.9668479363123574,3.166323105494181,2.9003562132517495,0.09170145757518573
awslabs/deequ,awslabs,awslabs/deequ,WORKFLOW MANAGEMENT & DATAOPS,Data Quality,12.0,2.908253331979116,2.9908865292867026,2.880708932876587,0.03824669516336583
mysql/mysql-server,mysql,mysql/mysql-server,STORAGE SYSTEMS,Relational DBMS,12.0,2.8464309771855674,1.7700823942820232,3.205213838153415,-0.44774904775096025
apache/storm,apache,apache/storm,DATA PROCESSING AND COMPUTATION,Stream Processing,12.0,2.817462762196859,2.631607929865519,2.879414372973972,-0.08606140381681453
spotify/luigi,spotify,spotify/luigi,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,2.733126406868299,0.9385641614596049,3.33131382200453,-0.7182600584610043
Netflix/atlas,Netflix,Netflix/atlas,STORAGE SYSTEMS,Time-Series Database,12.0,2.6247147917747498,1.5330642064412434,2.9885983202192516,-0.48702902090610367
Netflix/maestro,Netflix,Netflix/maestro,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,2.551856219768524,3.487181822458903,2.2400810188717313,0.5567212940428837
amundsen-io/amundsen,amundsen-io,amundsen-io/amundsen,METADATA MANAGEMENT,Metadata Platform,9.0,2.499795279569096,0.1328088790178299,2.7956685796380043,-0.9524947699505116
bytewax/bytewax,bytewax,bytewax/bytewax,DATA PROCESSING AND COMPUTATION,Stream Processing,10.0,2.478207436203957,0.38708463311195374,2.71055441432529,-0.8571935575001889
apache/linkis,apache,apache/linkis,BI as Code (Web App),Semantic & Middleware Layer,12.0,2.2406583055853844,1.078843315442403,2.627929968966378,-0.5894702948013735
distribworks/dkron,distribworks,distribworks/dkron,WORKFLOW MANAGEMENT & DATAOPS,Job Scheduling,12.0,2.1705063432455063,1.3354133168856304,2.448870685365465,-0.45468197856828213
facebook/mysql-5.6,facebook,facebook/mysql-5.6,STORAGE SYSTEMS,Embedded Key-value Store,9.0,2.1019123933381505,0.2282213307917118,2.637252696922847,-0.9134624713596838
codenotary/immudb,codenotary,codenotary/immudb,STORAGE SYSTEMS,Distributed Key-value Store,12.0,2.0124540825684867,1.5474296410878499,2.1674622297286987,-0.2860638492964458
apache/samza,apache,apache/samza,DATA PROCESSING AND COMPUTATION,Stream Processing,10.0,1.9262278735637666,1.3262629111607869,2.1833557145936147,-0.3925575652670767
hydradatabase/hydra,hydradatabase,hydradatabase/hydra,STORAGE SYSTEMS,Columnar OLAP Database,5.0,1.864097785949707,,1.864097785949707,
opendatadiscovery/odd-platform,opendatadiscovery,opendatadiscovery/odd-platform,METADATA MANAGEMENT,Metadata Platform,8.0,1.840905711054802,0.4575618803501129,2.038526258298329,-0.7755428077085132
simonw/datasette,,simonw/datasette,BI as Code (Web App),Query & Collaboration,12.0,1.8024287596344948,0.6870775123437246,2.174212508731418,-0.6839878762611793
rethinkdb/rethinkdb,rethinkdb,rethinkdb/rethinkdb,STORAGE SYSTEMS,Document Store,12.0,1.6560982465744019,2.0989237626393638,1.5084897412194147,0.39140738268638214
google/leveldb,google,google/leveldb,STORAGE SYSTEMS,Embedded Key-value Store,12.0,1.4598317394653957,0.8698135415712992,1.656504472096761,-0.4749102364509095
nsqio/nsq,nsqio,nsqio/nsq,DATA INTEGRATION,Event Hub,12.0,1.3879642685254414,0.9053227106730143,1.548844787809584,-0.4154851939984607
mljar/mercury,mljar,mljar/mercury,BI as Code (Web App),,12.0,1.3831809808810551,2.432255744934082,1.0334893928633795,1.3534404530222501
apache/mesos,apache,apache/mesos,DATA INFRASTRUCTURE,Resource Scheduling,10.0,1.3607340276241302,0.9137788414955139,1.4103957149717543,-0.3521117287896653
vaexio/vaex,vaexio,vaexio/vaex,DATA PROCESSING AND COMPUTATION,Python Processing Framework,12.0,1.2599999358256657,0.6087980270385742,1.4770672387546964,-0.5878332339482074
typicode/lowdb,,typicode/lowdb,STORAGE SYSTEMS,Document Store,10.0,1.2371872425079347,0.5041738748550415,1.318633172247145,-0.6176541850559887
datafold/data-diff,datafold,datafold/data-diff,WORKFLOW MANAGEMENT & DATAOPS,Data Quality,4.0,1.179641529917717,,1.179641529917717,
zabbix/zabbix,zabbix,zabbix/zabbix,DATA INFRASTRUCTURE,Observability Framework,12.0,1.0835415174563725,1.1702375610669453,1.0546428362528484,0.10960556582814862
statsd/statsd,statsd,statsd/statsd,DATA INFRASTRUCTURE,Log & Metrics Pipeline,7.0,1.0491789792265211,,1.0491789792265211,
microsoft/nni,microsoft,microsoft/nni,ML/AI PLATFORM,MLOps,2.0,0.9701225757598877,,0.9701225757598877,
quarylabs/quary,quarylabs,quarylabs/quary,BI as Code (Web App),,9.0,0.9225390470690198,0.957613617181778,0.9125177413225174,0.04941917709337118
snowplow/snowplow,snowplow,snowplow/snowplow,DATA INTEGRATION,Log & Event Collection,6.0,0.7377795229355494,0.5205093026161194,0.7812335669994355,-0.3337340782535839
mongodb/mongo,mongodb,mongodb/mongo,STORAGE SYSTEMS,Document Store,12.0,0.6731186459461848,1.1187285780906677,0.5245820018980238,1.1326095330051813
OpenTSDB/opentsdb,OpenTSDB,OpenTSDB/opentsdb,DATA INFRASTRUCTURE,Metrics Store,6.0,0.6018036628762881,0.48237165808677673,0.6256900638341903,-0.22905654737293926
getdozer/dozer,getdozer,getdozer/dozer,DATA INTEGRATION,CDC Tool,2.0,0.5599621459841728,,0.5599621459841728,
nalepae/pandarallel,,nalepae/pandarallel,DATA PROCESSING AND COMPUTATION,Python Workflow Scaling,4.0,0.4973301663994789,,0.4973301663994789,
sqlite/sqlite,,sqlite/sqlite,STORAGE SYSTEMS,Relational DBMS,8.0,0.4688583165407181,0.5139673352241516,0.45382197697957355,0.13253073076116187
azkaban/azkaban,azkaban,azkaban/azkaban,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,8.0,0.42255851440131664,0.32748374342918396,0.45425010472536087,-0.27906732431645714
kairosdb/kairosdb,kairosdb,kairosdb/kairosdb,STORAGE SYSTEMS,Time-Series Database,1.0,0.399820476770401,,0.399820476770401,
apache/kudu,apache,apache/kudu,STORAGE SYSTEMS,Columnar OLAP Database,2.0,0.3684354592114687,,0.3684354592114687,
basho/riak,basho,basho/riak,STORAGE SYSTEMS,Distributed Key-value Store,2.0,0.3286840170621872,,0.3286840170621872,
linkedin/brooklin,linkedin,linkedin/brooklin,DATA INTEGRATION,CDC Tool,1.0,0.3251664936542511,0.3251664936542511,,
cayleygraph/cayley,cayleygraph,cayleygraph/cayley,STORAGE SYSTEMS,Graph Database,3.0,0.24966938296953836,,0.24966938296953836,
apache/impala,apache,apache/impala,BI as Code (Web App),MPP Query Engine,2.0,0.14546228758990765,0.2342323213815689,0.056692253798246384,3.131645960224891
apache/flume,,,DATA INTEGRATION,Log & Event Collection,,,,,
apache/incubator-paimon,,,DATA LAKE PLATFORM,Open Table Format,,,,,
datafuselabs/databend,,,STORAGE SYSTEMS,Columnar OLAP Database,,,,,
greenplum-db/gpdb-archive,,,STORAGE SYSTEMS,Columnar OLAP Database,,,,,
memphisdev/memphis,,,DATA INTEGRATION,Event Hub,,,,,
sphinxsearch/sphinx,,,STORAGE SYSTEMS,Search Engine,,,,,
