name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url,2025_value
Determined,Determined AI,https://determined.ai/,logos/6f06ce54ac2345f4d76475807a8d81d20d4f6d8f1f017ac591fb22f312ef329c.svg,https://twitter.com/DeterminedAI,https://www.crunchbase.com/organization/determined-ai,13600000.0,,,,Apache License 2.0,"San Francisco, California, United States","Determined is an open-source machine learning platform that simplifies distributed training, hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.",Determined AI is a machine learning tech company that revolutionizes the way deep models are trained and deployed.,http://determined.ai,San Francisco,California,United States,https://twitter.com/DeterminedAI,https://www.linkedin.com/company/determined-ai/,,funding,11.0,50.0,Optimizations,MLOps,True,https://github.com/determined-ai/determined,3188.0,"Determined is an open-source machine learning platform that simplifies distributed training, hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.",2025-03-19,https://github.com/determined-ai/determined/commit/c1e9c6d7b821ef246d612bb9922f7fb1b58dcf2e,2025-03-19,https://github.com/determined-ai/determined/releases/tag/v0.38.1,2020-04-07,https://github.com/determined-ai/determined/commit/4bff89a70bea29f536cf0261fbc70e90d98f98d5,125.0,https://github.com/determined-ai/determined/graphs/contributors,,,,,,,,,,,,,293.69
DGL,New York University,https://www.dgl.ai/,logos/8bc26a2c13a583b1695caeee24b08ead02adb0d16645e0d2763ea37305fae388.svg,http://twitter.com/nyuniversity,https://www.crunchbase.com/organization/new-york-university,28045722.0,,,,Apache License 2.0,"New York, New York, United States","Python package built to ease deep learning on graph, on top of existing DL frameworks.  Fast and memory-efficient message passing primitives for training Graph Neural Networks.","New York University is a private research university that provides education in the arts and sciences, law, medicine, business, and others.",http://www.nyu.edu,New York,New York,United States,http://twitter.com/nyuniversity,https://www.linkedin.com/school/new-york-university,,funding,10001.0,,Modeling,Specialized,True,https://github.com/dmlc/dgl,14074.0,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",2025-07-31,https://github.com/dmlc/dgl/commit/3d16000b4170fa741ed9e9667f22ba84d3493026,2024-09-03,https://github.com/dmlc/dgl/releases/tag/v2.4.0,2018-04-20,https://github.com/dmlc/dgl/commit/6559097720cb0cfcabf8cd2b4b60bc7581505d98,297.0,https://github.com/dmlc/dgl/graphs/contributors,,,,,,,,,,,,,119.29
Diffusers,Hugging Face,https://huggingface.co/docs/diffusers/index,logos/ffc8bf3d4d9c6e89044e907ea8b49195426ef764da054041f80845be8605c48e.svg,https://x.com/huggingface,https://www.crunchbase.com/organization/hugging-face,395200000.0,Premier,member,,Apache License 2.0,"Brooklyn, New York, United States","Pretrained diffusion models for generating images, audio, and even 3D structures of molecules. Whether you are looking for a simple inference solution or want to train your own diffusion model, Diffusers is a modular toolbox that supports both","Hugging Face allows users to build, train, and deploy art models using the reference open source in machine learning.",https://huggingface.co,Brooklyn,New York,United States,https://x.com/huggingface,https://www.linkedin.com/company/huggingface,,funding,51.0,100.0,Modeling,Specialized,True,https://github.com/huggingface/diffusers,30809.0,"🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch.",2025-09-18,https://github.com/huggingface/diffusers/commit/7e7e62c6fff46471b569cdb07b690c70514c71fc,2025-08-20,https://github.com/huggingface/diffusers/releases/tag/v0.35.1,2022-05-30,https://github.com/huggingface/diffusers/commit/0bea0268caa182802874f80917dd45afa8db2273,989.0,https://github.com/huggingface/diffusers/graphs/contributors,,,,,,,,,,,,,1686.33
docTR,Mindee,https://mindee.github.io/doctr/,logos/a5efec22de5026d7c71d2362aeb47644c441dbba07d1789c133662174fc29bed.svg,https://twitter.com/MindeeAPI,https://www.crunchbase.com/organization/mindee,23251679.0,,,,Apache License 2.0,"Paris, Ile-de-France, France",A high-performing and accessible library for OCR related tasks powered by PyTorch and TensorFlow 2.,Mindee offers a tailor-made artificial intelligence solution that transforms documents into usable data.,https://mindee.com,Paris,Ile-de-France,France,https://twitter.com/MindeeAPI,https://www.linkedin.com/company/mindee/,,funding,51.0,100.0,Modeling,Computer Vision,True,https://github.com/mindee/doctr,5434.0,"docTR (Document Text Recognition) - a seamless, high-performing & accessible library for OCR-related tasks powered by Deep Learning.",2025-09-07,https://github.com/mindee/doctr/commit/07443a04502d3ef7bd4bf4f067305399a090fe29,2025-07-09,https://github.com/mindee/doctr/releases/tag/v1.0.0,2021-01-08,https://github.com/mindee/doctr/commit/868fc4a3bb0c7d46fb9f36c00ebf09eb89fd8a3e,68.0,https://github.com/mindee/doctr/graphs/contributors,,,,,,,,,,,,,105.84999999999998
einops,Chai Discovery,https://einops.rocks/,logos/b5a90edf576208a5d90039a11703e94d01d4d4941c3bb98702a13de77d0cbec3.svg,,https://www.crunchbase.com/organization/chai-discovery,100000000.0,,,,MIT License,"San Francisco, California, United States","Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others)",Chai Discovery develops AI models for molecular structure prediction in drug discovery.,https://www.chaidiscovery.com,San Francisco,California,United States,,https://www.linkedin.com/company/chaidiscovery,,funding,1.0,10.0,Optimizations,General,True,https://github.com/arogozhnikov/einops,9176.0,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others)",2025-08-12,https://github.com/arogozhnikov/einops/commit/361b11e87da94ead4bd09de636c5dbed73e0e3e0,2025-02-09,https://github.com/arogozhnikov/einops/releases/tag/v0.8.1,2018-09-22,https://github.com/arogozhnikov/einops/commit/8e72d792ee88dae177aba3e299179ed478b9a592,34.0,https://github.com/arogozhnikov/einops/graphs/contributors,,,,,,,,,,,,,22.0
Ensemble-Pytorch,Nanjing University,https://ensemble-pytorch.readthedocs.io/,logos/1a5daa080e0d4c6242967eeac5734b744501e8d1bfe8a1f86e4305047a928ef0.svg,https://www.twitter.com/njuniversity,https://www.crunchbase.com/organization/nanjing-university,,,,,"BSD 3-Clause ""New"" or ""Revised"" License","Nanjing, Jiangsu, China",unified ensemble framework for PyTorch to improve the performance and robustness of your ensemble based deep learning model,"Nanjing University, or Nanking University, is one of the oldest and most prestigious institutions of higher learning in China.",http://www.nju.edu.cn/,Nanjing,Jiangsu,China,https://www.twitter.com/njuniversity,https://www.linkedin.com/company/nanjing-university,,,,,Modeling,Adversarial & Robustness,True,https://github.com/TorchEnsemble-Community/Ensemble-Pytorch,1034.0,A unified ensemble framework for PyTorch to improve the performance and robustness of your deep learning model.,2024-06-16,https://github.com/TorchEnsemble-Community/Ensemble-Pytorch/commit/0e25f1f3f4ebe712288c5d37027d725df991f253,2024-04-22,https://github.com/TorchEnsemble-Community/Ensemble-Pytorch/releases/tag/v0.2.0,2019-09-11,https://github.com/TorchEnsemble-Community/Ensemble-Pytorch/commit/5a47e23be0970f9f3930ebb4afc883b803b3ec31,16.0,https://github.com/TorchEnsemble-Community/Ensemble-Pytorch/graphs/contributors,,,,,,,,,,,,,1.53
FairScale,Meta,https://github.com/facebookresearch/fairscale,logos/76b44191e2f21640c78f4d1afc3679f6bdefb6187441da1a84222ee5be3fb5f7.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,Other,"Menlo Park, California, United States",PyTorch extension library for high performance and large scale training. This library extends basic PyTorch capabilities while adding new SOTA scaling techniques.,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Optimizations,Distributed,True,https://github.com/facebookresearch/fairscale,3370.0,PyTorch extensions for high performance and large scale training.,2025-04-26,https://github.com/facebookresearch/fairscale/commit/146f160241651e1211c4247979f159a4ef43b54a,2022-12-11,https://github.com/facebookresearch/fairscale/releases/tag/v0.4.13,2020-07-08,https://github.com/facebookresearch/fairscale/commit/0cd65242a0e43c60251abb3b631411e5ea5b6b86,77.0,https://github.com/facebookresearch/fairscale/graphs/contributors,,,,,,,,,,,,,4.0200000000000005
fastai,Fast.ai,https://docs.fast.ai/,logos/9b1d9cefe662d9c4a595cbe44fddc8c2d31a2390f6ac3ac0ae025a8c878a53ce.svg,https://twitter.com/fastdotai?lang=en,https://www.crunchbase.com/organization/fast-ai,,,,,Apache License 2.0,"San Francisco, California, United States","fastai is a deep learning library which provides practitioners with high-level components that can quickly and easily provide state-of-the-art results in standard deep learning domains, and provides researchers with low-level components that can be mixed and matched to build new approaches","Fast.ai is an e-learning site that offers easy to use software for developers and end users, develops educational framework and models.",https://www.fast.ai/,San Francisco,California,United States,https://twitter.com/fastdotai?lang=en,https://www.linkedin.com/school/fast-ai/,,,1.0,10.0,Training,General,True,https://github.com/fastai/fastai,27438.0,The fastai deep learning library,2025-09-05,https://github.com/fastai/fastai/commit/b342f8b5e975226e1e732dfb6922c9873b21a992,2025-08-19,https://github.com/fastai/fastai/releases/tag/2.8.4,2019-11-23,https://github.com/fastai/fastai/commit/ff0dff1eda65a35e447849540b7b83ee365e2109,263.0,https://github.com/fastai/fastai/graphs/contributors,,,,,,,,,,,,,18.56
FlagGems,BAAI,https://github.com/FlagOpen/FlagGems,logos/f7f629dc2dd6256293cd30adcbff542181c51b11a495a1f15e9cfa0bb49db042.svg,https://twitter.com/BAAIBeijing,https://www.crunchbase.com/organization/baai,,Associate,member,,Apache License 2.0,"Beijing, Beijing, China",FlagGems is an operator library for large language models implemented in the Triton Language.,Beijing Academy of Artificial Intelligence is a non-profit research institute,https://www.baai.ac.cn,Beijing,Beijing,China,https://twitter.com/BAAIBeijing,https://www.linkedin.com/company/beijingbaai/,,,101.0,250.0,Optimizations,Compilers & Runtimes,True,https://github.com/FlagOpen/FlagGems,678.0,FlagGems is an operator library for large language models implemented in the Triton Language.,2025-09-19,https://github.com/FlagOpen/FlagGems/commit/c0d3f166e6c91f598af7a9d83e261a9059f28eb6,,,2024-02-27,https://github.com/FlagOpen/FlagGems/commit/0031736747a47f23abc4f878766dba68636b2330,74.0,https://github.com/FlagOpen/FlagGems/graphs/contributors,,,,,,,,,,,,,407.26000000000005
Flair,Humboldt University of Berlin,https://github.com/flairNLP/flair,logos/79bb5140f6e438d44b09dbd2bde4ba675f11bb1e19b84e74b0ada9b16c0b034a.svg,http://twitter.com/humboldtUni,https://www.crunchbase.com/organization/humboldt-university-of-berlin,,,,,Other,"Berlin, Berlin, Germany","Flair allows you to apply our state-of-the-art natural language processing (NLP) models to your text, such as named entity recognition (NER), sentiment analysis, part-of-speech tagging (PoS), special support for biomedical texts, sense disambiguation and classification, with support for a rapidly growing number of languages",Humboldt University of Berlin is a school.,https://www.hu-berlin.de/de,Berlin,Berlin,Germany,http://twitter.com/humboldtUni,https://www.linkedin.com/company/humboldt-university-berlin,,,5001.0,10000.0,Modeling,Language,True,https://github.com/flairNLP/flair,14293.0,A very simple framework for state-of-the-art Natural Language Processing (NLP),2025-06-12,https://github.com/flairNLP/flair/commit/d4ea3777998ba67bfbe6b6b8359e024dcf673c3e,2025-02-05,https://github.com/flairNLP/flair/releases/tag/v0.15.1,2018-06-11,https://github.com/flairNLP/flair/commit/98eb2c86a4b75334658be77839e7de0d07a86f56,277.0,https://github.com/flairNLP/flair/graphs/contributors,,,,,,,,,,,,,96.76
Flower,Flower Labs,https://flower.ai/,logos/af4acf3f0922e8bb18cd7439136d299b7c8ddd7c5b8e7574bb31c17c6b4450b1.svg,https://twitter.com/flwrlabs,https://www.crunchbase.com/organization/flower-1de8,23600000.0,,,,Apache License 2.0,"Hamburg, Hamburg, Germany","A unified approach to federated learning, analytics, and evaluation. Federate any workload, any ML framework, and any programming language","Flower is a federated learning, analytics, and evaluation platform.",https://flower.ai,Hamburg,Hamburg,Germany,https://twitter.com/flwrlabs,https://www.linkedin.com/company/flwrlabs,,funding,11.0,50.0,Training,Federated Learning,True,https://github.com/adap/flower,6239.0,Flower: A Friendly Federated AI Framework,2025-09-19,https://github.com/adap/flower/commit/f89c3ca68a97951bdb65c020df125e746f38b669,2025-09-10,https://github.com/adap/flower/releases/tag/v1.21.0,2020-02-17,https://github.com/adap/flower/commit/fb7663d6e77873ba54d228c221cfec5503dc514e,147.0,https://github.com/adap/flower/graphs/contributors,,,,,,,,,,,,,558.19
forte,Petuum,https://github.com/asyml/forte,logos/841fb71182aaea1282f014f735fb0f7db557d72aa48bcb0b9807fde0859f958d.svg,https://twitter.com/PetuumInc,https://www.crunchbase.com/organization/petuum,108000000.0,,archived,,Apache License 2.0,"Pittsburgh, Pennsylvania, United States",Forte is a flexible and powerful ML workflow builder.,"Petuum, Inc. is building a platform that serves the full spectrum of Artificial Intelligence",http://www.petuum.com/,Pittsburgh,Pennsylvania,United States,https://twitter.com/PetuumInc,https://www.linkedin.com/company/petuum,,funding,11.0,50.0,Optimizations,MLOps,True,https://github.com/asyml/forte,249.0,Forte is a flexible and powerful ML workflow builder.  This is part of the CASL project: http://casl-project.ai/,2023-04-06,https://github.com/asyml/forte/commit/13e50aebe2afd79a7a8b3c01f0bb2568addea54f,2022-04-27,https://github.com/asyml/forte/releases/tag/v0.2.0,2019-05-31,https://github.com/asyml/forte/commit/598d79c3530e95e78825528075f987d7c3ec6d00,55.0,https://github.com/asyml/forte/graphs/contributors,,,,,,,,,,,,,
FuseMedML,IBM Research,https://pytorch.org/ecosystem/,logos/bed2d7b1ea133092432cc28a1d20d3314098a2c30624894f1bad0ed7162fa03d.svg,http://twitter.com/ibmresearch,https://www.crunchbase.com/organization/ibm-research,,,,,Apache License 2.0,"Yorktown Heights, New York, United States",A python framework accelerating ML based discovery in the medical field by encouraging code reuse,IBM Research provides research and developments related to the technological industry.,http://www.research.ibm.com/,Yorktown Heights,New York,United States,http://twitter.com/ibmresearch,http://www.linkedin.com/groups/IBM-Research-1201047?gid=1201047,,,10001.0,,Modeling,Medical & Biology,True,https://github.com/BiomedSciAI/fuse-med-ml,149.0,A python framework accelerating ML based discovery in the medical field by encouraging code reuse. Batteries included :),2025-09-17,https://github.com/BiomedSciAI/fuse-med-ml/commit/9678d30498ddd20625383357e33d280fd61ff359,2024-10-22,https://github.com/BiomedSciAI/fuse-med-ml/releases/tag/0.4.0,2021-06-29,https://github.com/BiomedSciAI/fuse-med-ml/commit/72d9b26882a8ad0a0b2f21f3285a293ba3fb3d70,40.0,https://github.com/BiomedSciAI/fuse-med-ml/graphs/contributors,,,,,,,,,,,,,41.59
GaNDLF,MLCommons,https://www.nature.com/articles/s44172-023-00066-3,logos/2c684fbc52871399018ed1bbd4eb4558cf380b37f789128ab453063f072a1377.svg,https://twitter.com/commons_ml,https://www.crunchbase.com/organization/mlcommons,,,,,Apache License 2.0,"San Francisco, California, United States","The Generally Nuanced Deep Learning Framework (GaNDLF) for image segmentation and classification, especially in the biomedical field.",MLCommons accelerates machine learning innovation and collaborates engineering work that helps in building tools for industry metrics.,https://mlcommons.org/en/,San Francisco,California,United States,https://twitter.com/commons_ml,https://www.linkedin.com/company/mlcommons,,,1.0,10.0,Modeling,Medical & Biology,True,https://github.com/mlcommons/GaNDLF,186.0,"A generalizable application framework for segmentation, regression, and classification using PyTorch",2025-08-15,https://github.com/mlcommons/GaNDLF/commit/3f9b7726925be0f97a8a0eb108c8f35b19ff50dd,2025-08-14,https://github.com/mlcommons/GaNDLF/releases/tag/0.1.5,2020-03-15,https://github.com/mlcommons/GaNDLF/commit/42f6a3dae199507928ee8df622897032fb491088,64.0,https://github.com/mlcommons/gandlf/graphs/contributors,,,,,,,,,,,,,55.99999999999999
Glow,Meta,https://github.com/pytorch/glow,logos/b3b7299a3f02acbea42cc57cc86165e6ca112e2729f9f7c3b5284ec36b263bf8.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,archived,,Apache License 2.0,"Menlo Park, California, United States",Glow is a machine learning compiler and execution engine for hardware accelerators. It is designed to be used as a backend for high-level machine learning frameworks. The compiler is designed to allow state of the art compiler optimizations and code generation of neural network graphs,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Optimizations,Compilers & Runtimes,True,https://github.com/pytorch/glow,3311.0,Compiler for Neural Network hardware accelerators,2024-05-11,https://github.com/pytorch/glow/commit/05dd99b971dc5eeeb2b86a80c74dca800653d548,,,2017-07-01,https://github.com/pytorch/glow/commit/8250f8f222d401c9371eddb0a821dc681fafb8fc,359.0,https://github.com/pytorch/glow/graphs/contributors,,,,,,,,,,,,,1.54
Google LLC (member),Google,https://google.com/,logos/69f2e547abd6beb437195f5f95ff2c618449e67abebb82be22162e92eef60ef1.svg,https://twitter.com/Google,https://www.crunchbase.com/organization/google,26100000.0,Premier,member,,,"Mountain View, California, United States","Founded in 1998, Google, Inc. is a multinational corporation that provides Internet-related services and products, including an internet search engine, software, cloud computing, and advertising technologies.","Google specializes in internet-related services and products, including search, advertising, and software.",https://www.google.com,Mountain View,California,United States,https://x.com/google,https://www.linkedin.com/company/google,GOOG,funding,10001.0,,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
GPyTorch,University of Pennsylvania,https://arxiv.org/abs/1809.11165,logos/edd7c89043cddc740dd6ccd3746aee9f57a590b76e93440eff93fb7272c3f4ce.svg,https://x.com/Penn,https://www.crunchbase.com/organization/university-of-pennsylvania,81457390.0,,,,MIT License,"Philadelphia, Pennsylvania, United States","GPyTorch is a Gaussian process library implemented using PyTorch. GPyTorch is designed for creating scalable, flexible, and modular Gaussian process models with ease",The University of Pennsylvania is an American private Ivy League Research University that excels in producing future leaders.,http://www.upenn.edu,Philadelphia,Pennsylvania,United States,https://x.com/Penn,https://www.linkedin.com/school/university-of-pennsylvania,,funding,10001.0,,Training,Probabilistic & Optimization,True,https://github.com/cornellius-gp/gpytorch,3774.0,A highly efficient implementation of Gaussian Processes in PyTorch,2025-09-03,https://github.com/cornellius-gp/gpytorch/commit/8433c0b86660d0f318e3b0b5175bcfc5f9967894,2025-01-29,https://github.com/cornellius-gp/gpytorch/releases/tag/v1.14,2017-06-09,https://github.com/cornellius-gp/gpytorch/commit/3c0fb2cfc6de8c03ab164c482720468286f3e4fe,142.0,https://github.com/cornellius-gp/gpytorch/graphs/contributors,,,,,,,,,,,,,39.32
Graphcore (member),Graphcore,https://graphcore.ai/,logos/b6cee9d5274fb6d369769189b2b6852cb5a256f709d49c635bd9e7c4f93d7491.svg,https://twitter.com/graphcoreai,https://www.crunchbase.com/organization/graphcore,682000000.0,General,member,,,"Bristol, Bristol, City of, United Kingdom",Graphcore is a semiconductor company that develops accelerators for AI and machine learning.,Graphcore develops a microprocessor designed for AI and machine learning applications.,https://www.graphcore.ai/,Bristol,"Bristol, City of",United Kingdom,https://twitter.com/graphcoreai,https://www.linkedin.com/company/graphcore/,,funding,501.0,1000.0,PyTorch Members,General,,,,,,,,,,,,,,,,,,,,,,,,,
higher,Meta,https://higher.readthedocs.io/en/latest/.,logos/1b11a1d950e1c79a1d207dbd7cd3233a207fa9056d41dd6d8f6d826f136038ff.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,archived,,Apache License 2.0,"Menlo Park, California, United States",higher is a pytorch library allowing users to obtain higher order gradients over losses spanning training loops rather than individual training steps.,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Optimizations,General,True,https://github.com/facebookresearch/higher,1624.0,higher is a pytorch library allowing users to obtain higher order gradients over losses spanning training loops rather than individual training steps.,2021-10-26,https://github.com/facebookresearch/higher/commit/15a247ac06cac0d22601322677daff0dcfff062e,,,2019-10-03,https://github.com/facebookresearch/higher/commit/c45ded0a3c19cddc2ba14ed207b34cdceba931bc,8.0,https://github.com/facebookresearch/higher/graphs/contributors,,,,,,,,,,,,,
Horovod,LF AI & Data Foundation,http://horovod.ai/,logos/a6f46dcbeb116393f35638875cc39a90f61ebc28453af34bf89ce3185da131ae.svg,https://twitter.com/LFAIDataFdn,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,,,,Other,"San Francisco, California, United States","Horovod is a distributed deep learning training framework for TensorFlow, Keras, PyTorch, and Apache MXNet",LF AI & Data Foundation supports open source innovation in artificial intelligence and data.,https://lfaidata.foundation/,San Francisco,California,United States,https://twitter.com/LFAIDataFdn,https://www.linkedin.com/company/lfai,,,1.0,10.0,Optimizations,Distributed,True,https://github.com/horovod/horovod,14591.0,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",2025-07-31,https://github.com/horovod/horovod/commit/413253cf1898a525f458c6780e7d7b0b0945c633,2023-06-12,https://github.com/horovod/horovod/releases/tag/v0.28.1,2017-08-09,https://github.com/horovod/horovod/commit/64317537436ae4225a004043acaa37a205a18dc3,176.0,https://github.com/horovod/horovod/graphs/contributors,,,,,,,,,,,,,13.53
"Huawei Technologies Co., Ltd (member)",Huawei,https://huawei.com/,logos/1d6fe1286b71f4cca819ed903e2dcd763787e9df447371c2169eb9aaafe178a3.svg,https://twitter.com/Huawei,https://www.crunchbase.com/organization/huawei,,Premier,member,,,"Shenzhen, Guangdong, China","Huawei is a global provider of information and communications technology (ICT) infrastructure and smart devices. Huawei is headquartered in Shenzhen, China.","Huawei is a telecommunication company that designs and develops software solutions, ICT infrastructure, and smart devices.",https://www.huawei.com/,Shenzhen,Guangdong,China,https://x.com/Huawei,https://www.linkedin.com/company/huawei/,,,10001.0,,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
Hugging Face Inc (member),Hugging Face,https://huggingface.co/,logos/ff63c962a46cfd0e7f405119ed3fbf248c6dca09b3b7ef9a563c7499a78e6074.svg,https://x.com/huggingface,https://www.crunchbase.com/organization/hugging-face,395200000.0,Premier,member,,,"Brooklyn, New York, United States",Hugging Face is a community that advances and democratizes artificial intelligence through open source and open science.,"Hugging Face allows users to build, train, and deploy art models using the reference open source in machine learning.",https://huggingface.co,Brooklyn,New York,United States,https://x.com/huggingface,https://www.linkedin.com/company/huggingface,,funding,51.0,100.0,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
Hummingbird,Microsoft,https://github.com/microsoft/hummingbird,logos/c0d704d4e08b297aadf925661feaf0dece433d3da38e551a9b0b0d326880447f.svg,https://x.com/Microsoft,https://www.crunchbase.com/organization/microsoft,1000000.0,Premier,archived,,MIT License,"Redmond, Washington, United States",Hummingbird is a library for compiling trained traditional ML models into tensor computations. Hummingbird allows users to seamlessly leverage neural network frameworks (such as PyTorch) to accelerate traditional ML models.,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",https://www.microsoft.com,Redmond,Washington,United States,https://x.com/Microsoft,https://www.linkedin.com/company/microsoft,MSFT,funding,10001.0,,Training,General,True,https://github.com/microsoft/hummingbird,3475.0,Hummingbird compiles trained ML models into tensor computation for faster inference.,2025-07-17,https://github.com/microsoft/hummingbird/commit/eb0a23538b364a021b3b723833cfb7e4dcd96134,2024-10-24,https://github.com/microsoft/hummingbird/releases/tag/v0.4.12,2020-03-12,https://github.com/microsoft/hummingbird/commit/e0636ab8847a10a8c990ddd0f12b5527aae6dd92,40.0,https://github.com/microsoft/hummingbird/graphs/contributors,,,,,,,,,,,,,8.72
Hydra,Meta,https://hydra.cc/,logos/cccea004a9de0d9bfd5ab086ec975ab271e67b75172e0526d0294b8e158b6db2.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,MIT License,"Menlo Park, California, United States",simplifies the development of research and other complex applications. The key feature is the ability to dynamically create a hierarchical configuration by composition and override it through config files and the command line. The name Hydra comes from its ability to run multiple similar jobs - much like a Hydra with multiple heads.,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Optimizations,MLOps,True,https://github.com/facebookresearch/hydra,9753.0,Hydra is a framework for elegantly configuring complex applications,2025-09-05,https://github.com/facebookresearch/hydra/commit/b785290504577b06d7131d87f85cfe121004dce2,2023-02-23,https://github.com/facebookresearch/hydra/releases/tag/v1.3.2,2019-06-12,https://github.com/facebookresearch/hydra/commit/aa24807add0fa4b272866e214e2d434c75fa5f39,123.0,https://github.com/facebookresearch/hydra/graphs/contributors,,,,,,,,,,,,,69.49
Ignite,Meta,https://pytorch-ignite.ai/,logos/35bb1388cfcd432baba2f56afef9724cf9bbeca68724e9adcb4232272ad8309f.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,"BSD 3-Clause ""New"" or ""Revised"" License","Menlo Park, California, United States",High-level library to help with training and evaluating neural networks in PyTorch,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Training,General,True,https://github.com/pytorch/ignite,4695.0,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,2025-09-19,https://github.com/pytorch/ignite/commit/dcac448dad2cf513c19f174602ce172fc0d39b74,2025-03-29,https://github.com/pytorch/ignite/releases/tag/v0.5.2,2017-11-24,https://github.com/pytorch/ignite/commit/550048b506ee86a1e8bbdc4a39566b0f5aef2034,225.0,https://github.com/pytorch/ignite/graphs/contributors,,,,,,,,,,,,,57.72
Imam Abdulrahman Bin Faisal University (member),,https://iau.edu.sa/,logos/9ecfbf7113b165c89073b220514307321e76798658a22ad01065503c00137a7e.svg,,,,,,,,,"Imam Abdulrahman Bin Faisal University (IAU) is a leading government university in Saudi Arabia with a rich history dating back to 1975. Offering a wide range of academic programs across 19 colleges and 85 specializations, IAU is dedicated to providing...",,,,,,,,,,,,PyTorch Members,Associate,,,,,,,,,,,,,,,,,,,,,,,,,
Instituto Tecnológico de La Piedad (member),,https://piedad.tecnm.mx/,logos/60026a1c444fb0027bfb3047d39d30408833b7999df980df02f235c55aeef3ae.svg,,,,,,,,,"TecNM is Mexico's largest Technological Higher Education Institution, providing innovative educational programs to nearly 600,000 students across 254 campuses.",,,,,,,,,,,,PyTorch Members,Associate,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Corporation (member),Intel,https://intel.com/,logos/27e9ab7b6357f93f8f5cb10c1aa60f59d5792ce31c7ab3df79ecc745e793e193.svg,https://twitter.com/intel,https://www.crunchbase.com/organization/intel,29967510008.0,Premier,member,,,"Santa Clara, California, United States","Intel Corporation designs, manufactures, and sells computer, networking, and communications platforms worldwide. The company offers microprocessors, chipsets, and input, display, and storage devices, such as keyboard, mouse, monitor, hard drive or solid-state drive, and optical disc drives; and system-on-chip and multichip packaging products. In addition, the company develops computer vision and machine learning-based sensing products, mapping and driving policy technology solutions for advanced driver assistance systems, and autonomous driving technologies. It serves original equipment manufacturers, original design manufacturers, cloud and communications service providers, and industrial, communications, and automotive equipment manufacturers. The company was founded in 1968 and is based in Santa Clara, California.","Intel designs, manufactures and sells computer components and related products for business and consumer markets.",http://www.intel.com,Santa Clara,California,United States,https://x.com/intel,https://www.linkedin.com/company/intel-corporation,INTC,funding,10001.0,,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
